,lat,long
125,35.7878975,-78.4822938
126,42.479124,-88.30280628333782
127,27.5158689,-97.856109
128,28.810823,-81.8778582
129,28.5744441,-81.7461873
130,36.5090263,-80.3558892
131,36.1533982,-88.8006163
132,41.2493292,-77.0027671
133,44.655466,-71.556015
134,34.1976308,-119.1803818
135,41.5236436,-90.5776368
136,30.2711286,-97.7436995
137,39.5584217,-79.3528174
138,34.1169903,-107.2433729
139,37.130408,-121.6544974
140,39.5752639,-76.9959277
141,34.9492613,-90.4714905
142,29.2854132,-81.0557921
143,36.9335998,-106.9991367
144,29.9499323,-90.0701156
145,42.8745323,-71.1811714
146,33.6383552,-95.582343
147,33.1976496,-96.6154471
148,16.0535139,-90.8215069
149,38.2542376,-85.759407
150,35.362623,-81.835657
151,46.8701049,-113.995267
152,41.9128375,-79.0353197
153,4.3720338,-75.9526704
154,33.8358492,-118.3406288
155,34.6774576,-118.4487112
156,47.5653663,-122.6246836
157,65.1719444,-152.078888
158,40.9548267,-76.4609868
159,36.2516475,-118.852583
160,36.2516475,-118.852583
161,63.6941667,-170.4788889
162,,
163,59.6440876,-151.5401477
164,35.4714415,-98.3556162
165,46.399993699999996,-93.84942350171502
166,35.3187279,-82.4609528
167,39.6342427,-119.2871527
168,28.5378719,-81.6544227
169,,
170,43.58919945,-79.64897568250672
171,29.4246002,-98.4951405
172,41.461999,-81.073708
173,34.4221319,-119.7026673
174,37.88958,-90.1856637
175,34.3645286,-89.5472143997496
176,39.4915482,-123.2147312
177,38.1014705,-93.0511058612413
178,,
179,34.5008311,-117.1858759
180,31.0380062,-104.8303694
181,38.0383114,-84.6046455
182,30.9576862,-85.1621527
183,35.77731545,-115.32881765537975
184,47.14489495,-121.6298997133715
185,42.801728,-78.0136191
186,40.9228363,-81.0189816
187,41.0087364,-91.9626486
188,40.690195,-75.99427099377374
189,31.8737712,-89.7336852
190,29.0283213,-81.3031098
191,33.0040126,-97.2258483
192,32.4780884,-96.7666
193,19.897825,-155.126953
194,29.7589382,-95.3676974
195,42.5846773,-87.8212263
196,32.7663776,-97.43122058123961
197,46.4335302,-109.8498047
198,41.3747744,-83.6513229
199,41.6175278,-94.0183875
200,43.5377608,-89.3001174
201,41.9589158,-90.0992924
202,33.15016,-105.78966814166806
203,35.7826363,-80.8872959
204,45.3573429,-122.6067583
205,28.8612025,-98.7068057
206,30.8471283,-90.153141
207,30.9840789,-92.0534555
208,32.140799,-81.2041286
209,34.4221319,-119.7026673
210,39.1646129,-122.9105515
211,35.56286225,-91.10977940385614
212,34.1816482,-118.3258554
213,38.8237881,-121.4838455
214,34.8142093,-106.7613067
215,37.600329,-86.7994341
216,34.2238723,-118.0611872
217,37.5339386,-95.8266483
218,37.4223414,-81.0161994
219,37.6746526,-119.7840681
220,34.9295608,-101.3449139
221,45.3477401,-95.2383563
222,35.0679365,-110.691625
223,38.3606509,-81.7373485
224,34.8117565,-88.1900415
225,32.4257456,-104.2376121
226,55.8480556,-159.8297222
227,33.6706408,-101.5351611
228,46.0667277,-118.3393456
229,28.7099337,-100.4938137
230,33.2442813,-86.8163773
231,37.3269064,-121.9211799
232,28.6122187,-80.8075538
233,44.0109722,-94.0560643
234,33.7906068,-109.98871
235,34.7895632,-82.284562
236,40.841027,-76.0795248018761
237,31.4648357,-100.4398442
238,42.4310806,-83.4832262
239,38.9855429,-119.1629896
240,39.1689372,-120.143478
