,Location,TotalFatalInjuries
2083,"brook haven, ms",0.0
79,"6 n.w. half moo, ca",0.0
13587,"pine creek, wi",0.0
13588,"pine grove mill, pa",0.0
13589,"pine haven, wy",0.0
13590,"pine hill, al",0.0
13591,"pine island, fl",0.0
13593,"pine knot, ky",0.0
19037,"worley, id",0.0
2082,"bronx, ny",0.0
13595,"pine mountain, ga",0.0
13596,"pine moutain, ga",0.0
81,"6 nm s. of lake, ca",0.0
2081,"bronston, ky",0.0
19038,"worth, il",0.0
13552,"pierce, ne",0.0
19056,"wrightsville, ga",0.0
2095,"brookings, sd",0.0
19079,"wyoming, mi",0.0
19086,"yacoit, wa",0.0
2119,"brookville, pa",0.0
65,"44mi nw mccarth, ak",0.0
66,"45 nw anchorage, ak",0.0
13508,"phillip, sd",0.0
19083,"xenia, il",0.0
13509,"phillipi, wv",0.0
13510,"phillips field, ak",0.0
13511,"phillips, me",0.0
2117,"brookville, ny",0.0
13514,"phillipsburg, mt",0.0
19080,"wyoming, mn",0.0
13515,"phillipsburg, oh",0.0
13516,"phillipsburg, pa",0.0
13517,"philomath, or",0.0
19087,"yacuiba, bolivia",0.0
2120,"brookwood, al",0.0
2123,"broomfield, tx",0.0
19091,"yakkama city, fl",0.0
2126,"brothers, or",0.0
13490,"pettus, tx",0.0
2125,"brooten, mn",0.0
13492,"pflugerville, tx",0.0
19093,"yakota, japan",0.0
63,"42nm ese of yak, ak",0.0
13494,"phalen, ca",0.0
13501,"philadelphia, il",0.0
13495,"pharr, tx",0.0
2124,"broomfield,, co",0.0
13498,"phelps, ny",0.0
64,"44 nw fairbanks, ak",0.0
19089,"yakataga, ak",0.0
13500,"pheonix, az",0.0
13518,"phippsburg, me",0.0
19077,"wyoming, ia",0.0
13549,"pierce city, mo",0.0
19076,"wynne, ar",0.0
2106,"brookneal, va",0.0
19067,"wyantskill, ny",0.0
19066,"wyandotte, in",0.0
19065,"wyaconda, mo",0.0
70,50 nw san juan,0.0
19063,"wurstboro, ny",0.0
2101,"brooklyn park, mn",0.0
2100,"brooklyn center, mn",0.0
19062,"wuppertal-langerfeld, germany",0.0
19061,"wulik river, ak",0.0
19060,"wulik river str, ak",0.0
13545,"piedmont, ok",0.0
19059,"wuhan, china",0.0
2098,"brookley, ga",0.0
19057,"wrightsville, nc",0.0
13539,"pickwick, mn",0.0
13538,"pickrell, ne",0.0
19068,"wyatt, in",0.0
13527,"picabo, id",0.0
13521,"phoenix (phx), az",0.0
19074,"wyndmere, nd",0.0
19073,"wymore, ne",0.0
2112,"brookston, tx",0.0
19072,"wylie, tx",0.0
2110,"brookshire, tx",0.0
13528,"picacho, az",0.0
13537,"pickney, mi",0.0
13530,"picher, ok",0.0
69,"50 mi sw fairba, ak",0.0
13532,"pickens, ar",0.0
13533,"pickens, ms",0.0
19069,"wyatt, mo",0.0
13535,"pickett, wi",0.0
13616,"pinehurst, tx",0.0
13617,"pineland, fl",0.0
13618,"pineland, tx",0.0
2036,"brimfield, il",0.0
18970,"wonewoc, wi",0.0
13701,"plains, tx",0.0
13702,"plainsboro, nj",0.0
13704,"plainview, mn",0.0
2045,"bristol, nh",0.0
2043,"bristol, fl",0.0
13707,"plainville, ks",0.0
2042,"bristol, ct",0.0
18968,"wonder lake, il",0.0
13710,"planada, ca",0.0
13711,"plankinton, sd",0.0
18967,"wolverton, mn",0.0
2037,"brindisi, italy",0.0
18965,"wollongong, australia",0.0
13715,"plantation key, fl",0.0
13700,"plains, mt",0.0
18971,"wonju, korea, republic of",0.0
18972,"wood creek, ak",0.0
13693,"plainfield, ct",0.0
18982,"woodbridge, nj",0.0
13687,"placida, fl",0.0
18981,"woodbridge, ca",0.0
2050,"bristol, united kingdom",0.0
105,"aberdeen, nc",0.0
2049,"bristol, tn",0.0
18977,"woodbine, ia",0.0
18973,"wood dale, il",0.0
18976,"wood, sd",0.0
18975,"wood river, ak",0.0
13695,"plainfield, ma",0.0
13696,"plainfield, pa",0.0
2047,"bristol, pa",0.0
13699,"plains, ks",0.0
13716,"plantation, fl",0.0
13719,"plaster city, ca",0.0
103,"aberdeen, md",0.0
18962,"wolfeboro, nh",0.0
13740,"pleasant hill, mo",0.0
111,"abilene, ks",0.0
13741,"pleasant hill, oh",0.0
2025,"bridgewater, va",0.0
18957,"wolf creek, mt",0.0
13743,"pleasant hill, tn",0.0
13744,"pleasant hills, mo",0.0
2024,"bridgewater, sd",0.0
13746,"pleasant valley, az",0.0
13747,"pleasant valley, ny",0.0
2023,"bridgewater, ma",0.0
2022,"bridgewater, ct",0.0
2021,"bridgeville, pa",0.0
18956,"wolcottville, in",0.0
18955,"wolcott, in",0.0
13739,"pleasant grove, ut",0.0
13738,"pleasant grove, nc",0.0
2026,"bridgman, mi",0.0
2030,"brighton beach, ny",0.0
2033,"brighton, ia",0.0
13723,"platte, sd",0.0
13724,"plattekill, ny",0.0
18961,"wolfe city, tx",0.0
13726,"platteville, co",0.0
13727,"platteville, wi",0.0
18960,"wolfboro, nh",0.0
13736,"pleasant grove, ar",0.0
2027,"briggs, tx",0.0
13731,"playa de carmen, mexico",0.0
13732,"pleasanat view, co",0.0
13733,"pleasant dale, ne",0.0
13734,"pleasant garden, nc",0.0
13735,"pleasant grove, al",0.0
13685,"pixley, ca",0.0
13684,"piute, nv",0.0
13619,"pinellas park, fl",0.0
13651,"pisek, nd",0.0
2069,"brodhead, wi",0.0
13634,"pinson, tn",0.0
92,"80 se of jfk (atlantic ocean), ny",0.0
19013,"woodstock, ct",0.0
13637,"pinyon, ca",0.0
13638,"pioche, nv",0.0
19011,"woodson, ar",0.0
19010,"woodside, de",0.0
13642,"piper city, il",0.0
13643,"pipersville, pa",0.0
13644,"pipestone, mn",0.0
93,"9 sw santa barb, ca",0.0
19007,"woodsboro, tx",0.0
2064,"broadwater, ne",0.0
13649,"piscataquis county, me",0.0
19015,"woodstock, il",0.0
2070,"brodheadsville, pa",0.0
13630,"pinon hills, ca",0.0
19021,"woodville, ms",0.0
13620,"pineora, ga",0.0
88,"70 nw anchorage, ak",0.0
19024,"woodworth, la",0.0
19023,"woodward, ok",0.0
2072,"brogue, pa",0.0
89,"7nm so. of sale, or",0.0
19019,"woodstown, pa",0.0
13629,"pink hill, nc",0.0
13624,"pineville, wv",0.0
19018,"woodstock, vt",0.0
19017,"woodstock, va",0.0
2071,"brodnax, va",0.0
13626,"piney point, md",0.0
13627,"pingo ridge, ak",0.0
13650,"piscataway, nj",0.0
95,"abbeville, al",0.0
18984,"woodburn, in",0.0
2063,"broadview, mt",0.0
13671,"pittsfield, il",0.0
100,"abbeyville, la",0.0
18991,"woodford, vt",0.0
2057,"broad pass, ak",0.0
2056,"britton, sd",0.0
13676,"pittsgrove, nj",0.0
18990,"woodford, va",0.0
18989,"woodeberry, tn",0.0
13679,"pittstown,, nj",0.0
13680,"pittsview, al",0.0
2054,"british virgin, british virgin islands",0.0
18988,"woodchopper crk, ak",0.0
102,"aberdeen, id",0.0
18985,"woodburn, or",0.0
2053,"bristow, va",0.0
18994,"woodlake, ca",0.0
18995,"woodland hills, ca",0.0
13669,"pittsburg, pa",0.0
13660,"pittman, nj",0.0
19003,"woodruff, ut",0.0
19002,"woodruff, sc",0.0
19001,"woodrow, wv",0.0
19000,"woodrow, sc",0.0
13658,"pitt meadow, bc, canada",0.0
13659,"pitt meadows, canada",0.0
18999,"woodrow, co",0.0
13668,"pittsburg, or",0.0
13662,"pittsboro, in",0.0
13664,"pittsburg airstrip, id",0.0
13665,"pittsburg, ca",0.0
98,"abbeyshrule, ireland",0.0
99,"abbeyville, al",0.0
13667,"pittsburg, mo",0.0
13488,"pettibois islan, ms",0.0
60,"40 nm wnw salmo, id",0.0
13756,"pledger, tx",0.0
13308,"pawnee, ne",0.0
16,"10mi. nw walsen, co",0.0
19193,"zachery, la",0.0
13311,"paxon, ak",0.0
19192,"zacher bay, ak",0.0
13312,"paxson, ak",0.0
13313,"paxton, fl",0.0
13315,"paxton, ma",0.0
13316,"paxton, ne",0.0
13317,"paxville, sc",0.0
13318,"payette, id",0.0
18,"11 mi. s. of du, az",0.0
13319,"payne gap, ky",0.0
13320,"payne springs, tx",0.0
2194,"buckhead, ga",0.0
2193,"buckhead ridge, fl",0.0
2195,"buckingham, pa",0.0
19196,"zakum field, united arab emirates",0.0
56,"38.54n, 173.24w",0.0
13306,"pawling, ny",0.0
19202,"zebulon, nc",0.0
2201,"bucklin, ks",0.0
13295,"paulding, oh",0.0
13296,"paulina, la",0.0
13297,"paulina, or",0.0
13299,"paulsbo, wa",0.0
13300,"pauma valley, ca",0.0
13301,"pauma, ca",0.0
2198,"buckland, ak",0.0
19201,"zavalla, tx",0.0
19200,"zapata, tx",0.0
15,"100mi s.kng slm, ak",0.0
19198,"zamora, spain",0.0
2196,"buckingham, va",0.0
13305,"pawhuska, ok",0.0
13323,"pe ell, wa",0.0
19,"11mi. so.oftell, co",0.0
2192,"buckhannon, wv",0.0
13327,"peach orchard, ar",0.0
2182,"bryon, ca",0.0
13346,"peculiar, mo",0.0
13347,"pedricktown, nj",0.0
19178,"yukon river, ak",0.0
13348,"pedrictown, nj",0.0
13349,"pedro bay, ak",0.0
19177,"yuki river, ak",0.0
27,"15n of medford, or",0.0
13351,"peebles, oh",0.0
28,"15nm w. opa loc, fl",0.0
13353,"peewee valley, ky",0.0
19174,"yucapia, ca",0.0
13354,"pekanbaru, indonesia",0.0
2180,"bryce, ut",0.0
13356,"pelahatchie, ms",0.0
13343,"peckville, pa",0.0
2184,"bryson, tx",0.0
26,"15mi. ne of chr, co",0.0
19185,"yutan, ne",0.0
13328,"peach springs v, az",0.0
2189,"buchanan, va",0.0
2188,"buchanan, nd",0.0
13331,"peapack, nj",0.0
2187,"buchanan, mi",0.0
19186,"yuzhno, russia",0.0
19184,"yurimaguas, peru",0.0
13341,"peaster, tx",0.0
2186,"buchanan, ga",0.0
13335,"pearisburg, va",0.0
13336,"pearl city, hi",0.0
13337,"pearl harbor, hi",0.0
19182,"yuma, ca",0.0
13340,"pearsall, tx",0.0
19203,"zee am see, austria",0.0
13293,"paul, id",0.0
13292,"patuxent river, md",0.0
13259,"parumph, nv",0.0
2217,"buena, wa",0.0
5,"0wasso, ok",0.0
2216,"buena, nj",0.0
2215,"buena vista, pa",0.0
13248,"parral, chile",0.0
13249,"parrfield, oh",0.0
13250,"parris island, sc",0.0
19224,"zuerich, switzerland",0.0
13251,"parrish, al",0.0
13252,"parrish, fl",0.0
13253,"parshall, co",0.0
13254,"parshall, nd",0.0
13255,"parson, tn",0.0
13256,"parsons, ks",0.0
19221,"zionsville, in",0.0
19227,"zuni, nm",0.0
13242,"parma, id",0.0
13241,"parlier, ca",0.0
2222,"buffalo city, ar",0.0
13227,"parker, sd",0.0
2,", gabon",0.0
2225,"buffalo lake, mn",0.0
13230,"parkertown, oh",0.0
2224,"buffalo grove, il",0.0
2223,"buffalo city, wi",0.0
13234,"parkman, wy",0.0
2218,"buenas aires, argentina",0.0
3,", ireland",0.0
2221,"buffalo center, ia",0.0
13236,"parks, la",0.0
13237,"parksley, va",0.0
19230,"zurich, mt",0.0
19229,"zurich, ks",0.0
13258,"parsons, wv",0.0
8,"10 east of till, or",0.0
13291,"pattonville, tx",0.0
13260,"pasadena, ca",0.0
12,"10 sw falls cit, ne",0.0
19211,"zephryhills, fl",0.0
2204,"buckner, mo",0.0
13280,"patoka, in",0.0
19209,"zenda, wi",0.0
13282,"patricia, tx",0.0
13283,"patrick, sc",0.0
2203,"buckman springs, ca",0.0
13285,"patriot, in",0.0
13,"10 sw of milan, mo",0.0
14,"10 west of bigg, ca",0.0
19205,"zeigler, il",0.0
2202,"bucklin, mo",0.0
19204,"zeeland, mi",0.0
13290,"patton, pa",0.0
13276,"paterson, wa",0.0
13275,"pataskala, oh",0.0
13274,"patagonia, az",0.0
19218,"zillah, wa",0.0
13261,"pasadena, md",0.0
2214,"buena vista, or",0.0
19219,"zilwauker, mi",0.0
2213,"buena vista, ga",0.0
2210,"buellton, ca",0.0
13265,"pasendena, tx",0.0
13266,"paseo las palma, costa rica",0.0
2205,"bucoda, wa",0.0
19216,"zhuhai sanzao airport, china",0.0
2209,"budapest, hungary",0.0
13269,"passadumkeag, me",0.0
13270,"passaic, nj",0.0
13271,"pastaza, ecuador",0.0
19214,"zhanjiang, china",0.0
29,"16nm no. of pie, id",0.0
30,"18nm ese ketchi, ak",0.0
2179,"bryce canyon, ut",0.0
2140,"brownstown, il",0.0
13443,"perrysville, oh",0.0
13444,"perryton, tx",0.0
19122,"yellow springs, oh",0.0
2143,"brownsville, or",0.0
13446,"perryville, md",0.0
13447,"perryville, mo",0.0
51,"35 se moab, ut",0.0
2142,"brownsville, ky",0.0
19120,"yellow jacket, ak",0.0
13450,"perth amboy, nj",0.0
52,"35 w. of ketchi, ak",0.0
13451,"perth, australia",0.0
13452,"perth, australia, australia",0.0
19118,"yazoo city, ms",0.0
13453,"perthshire, ms",0.0
13442,"perrysville, in",0.0
13441,"perrydale, or",0.0
19123,"yellowknife nwt, canada",0.0
49,"3/4 n.e. of nuc, co",0.0
13425,"perry hall, md",0.0
2154,"bruce, ms",0.0
2153,"broxton, ga",0.0
13428,"perry warsaw, ny",0.0
19133,"yerrington, nv",0.0
13431,"perry, ia",0.0
19130,"yentna river, ak",0.0
19124,"yellowpine, id",0.0
19129,"yenta glacier, ak",0.0
50,"35 nm w. andros, bahamas",0.0
13435,"perry, ny",0.0
13436,"perry, oh",0.0
19125,"yellowsprings, oh",0.0
13439,"perry, tx",0.0
13457,"peru, ny",0.0
2139,"brownstone, mi",0.0
19134,"yeso, nm",0.0
19116,"yatesville, ga",0.0
13476,"petersburg, ne",0.0
19106,"yantis, tx",0.0
13477,"petersburg, oh",0.0
2132,"browning, mo",0.0
2131,"browning, il",0.0
19105,"yantarni bay, ak",0.0
19104,"yankton, sd",0.0
19103,"yankton, or",0.0
19102,"yankeetown, fl",0.0
19101,"yangyang, korea, republic of",0.0
13481,"petersham, ma",0.0
55,"38 se barrow, ak",0.0
19099,"yancey, tx",0.0
2129,"brownell, ks",0.0
13484,"petoskey, mi",0.0
19108,"yao airport, japan",0.0
13474,"petersburg, in",0.0
19110,"yap, federated states of micronesia",0.0
13467,"peterborough, canada",0.0
13460,"pescadero, ca",0.0
13461,"peshawar, pakistan",0.0
13462,"peshtigo, wi",0.0
2138,"brownsmead, or",0.0
19115,"yates, ny",0.0
2136,"brownsboro, tx",0.0
19114,"yates city, il",0.0
19111,"yardley, pa",0.0
13469,"peterborough, united kingdom",0.0
13470,"peters twp, pa",0.0
19113,"yates center, ks",0.0
13471,"peters, ca",0.0
13472,"petersberg, tx",0.0
53,"36 sw laramie, wy",0.0
13424,"perry foley, fl",0.0
47,"3 miles sw of d, co",0.0
13359,"pelican lake, wi",0.0
38,"25nm sw santa r, mt",0.0
34,"20mn of jackson, wy",0.0
35,"20n bryce, ut",0.0
2170,"brussels, belgium",0.0
19160,"yosemite, ca",0.0
13383,"pendleton, in",0.0
13384,"pendleton, ny",0.0
2169,"brush, co",0.0
19157,"yoro, honduras",0.0
13387,"penicton, canada",0.0
13388,"penn run, pa",0.0
19155,"yorktown, va",0.0
19154,"yorktown, ny",0.0
2167,"brush praire, wa",0.0
19153,"yorktown hgts, ny",0.0
13391,"penngrove, ca",0.0
33,"20 ese north po, ak",0.0
13378,"pempbroke pines, fl",0.0
13377,"pemir, latvia",0.0
2173,"brutus, ny",0.0
13361,"pelican rapids, mn",0.0
19170,"yreka, ca",0.0
13363,"pelion, sc",0.0
2176,"bryans corner, ok",0.0
13365,"pella, ia",0.0
31,"1nm n. or mcgre, ne",0.0
19167,"youngsville, nc",0.0
13375,"pembroke, ma",0.0
32,"2 mi east mina, nv",0.0
13369,"pemberton, nj",0.0
13370,"pembina, nd",0.0
13372,"pembroke pine, fl",0.0
2172,"brussels, wi",0.0
2171,"brussels, il",0.0
13392,"pennington gap, va",0.0
39,"27 e sagwon, ak",0.0
19136,"yipsilanti, mi",0.0
13394,"pennsboro, wv",0.0
13410,"perde bay, ak",0.0
13411,"perdido, al",0.0
19143,"yolo, ca",0.0
2160,"brule, ne",0.0
19142,"yokota, japan",0.0
19140,"yoder, ks",0.0
13414,"perham, mn",0.0
13415,"perigueux, france",0.0
46,"3 miles ne of e, ok",0.0
2158,"bruceville, tx",0.0
2157,"bruceville, in",0.0
19138,"yoakum, tx",0.0
13420,"perrine, fl",0.0
19137,"yipslanti, mi",0.0
13422,"perris valley, ca",0.0
2161,"brundidge, al",0.0
19144,"yoncalla, or",0.0
19145,"yonkers, ny",0.0
2163,"bruno, mn",0.0
2166,"brunswick, nc",0.0
13396,"penridge, pa",0.0
13397,"penrose, ar",0.0
40,"27ne rogue rive, or",0.0
19149,"york, mn",0.0
2165,"brunswick, me",0.0
13401,penuelas,0.0
13406,"peotone, il",0.0
13402,"peoria heights, il",0.0
19148,"york springs, pa",0.0
2162,"bruneau, id",0.0
43,"2nm nnm redmond, wa",0.0
44,"2nm sw of lynch, ky",0.0
13405,"peosta, ia",0.0
13755,"pleasonton, ca",0.0
13757,"plentywood, mt",0.0
14310,"randolph center, vt",0.0
18800,"willow springs, mo",0.0
14112,"providence, ky",0.0
1889,"bowstring, mn",0.0
14114,"providenciales, turks and caicos islands",0.0
15063,"saint james, mi",0.0
14118,"prudhoe bay, ak",0.0
14119,"prue, ok",0.0
18797,"willow city, tx",0.0
14120,"prunedale, ca",0.0
161,"adel, or",0.0
1884,"bowlus, mn",0.0
14123,"pskov, russia",0.0
14124,"pt mugu, ca",0.0
162,"adelaide, australia",0.0
14126,"pt. augusta, australia",0.0
14127,"pt. baker, ak",0.0
14111,"provencal, la",0.0
1890,"box elder, sd",0.0
14024,"prairie city, ia",0.0
14107,"prosperity, pa",0.0
18806,"wilmington, de",0.0
1893,"boy's ranch, tx",0.0
18805,"wilmington, ca",0.0
14095,"proctorville, oh",0.0
14096,"progreso, tx",0.0
14097,"prole, ia",0.0
14098,"prophetstown, il",0.0
18804,"willshire, oh",0.0
14099,"propriano, france",0.0
14100,"prospect creek, ak",0.0
14101,"prospect height, il",0.0
1891,"boxboro, ma",0.0
14103,"prospect, ky",0.0
14105,"prospect, pa",0.0
14106,"prospectville, pa",0.0
14128,"pt. mackenzie, ak",0.0
165,"adin, ca",0.0
166,"adirondack, ny",0.0
18790,"williston, tn",0.0
14151,"puerto vallerta, mexico",0.0
18782,"willimantic, ct",0.0
170,"admiralty isl, ak",0.0
14152,"puget bay, ak",0.0
1867,"bouse, az",0.0
14154,"pulaski, il",0.0
1866,"bournemouth, united kingdom",0.0
1865,"bourne, ma",0.0
1864,"bourne stage, tx",0.0
1863,"bourland, tx",0.0
14160,"pumice creek, ak",0.0
14161,"pungo, va",0.0
14162,"punkin center, az",0.0
18779,"williamstown, ky",0.0
14163,"punta abriejos, mexico",0.0
1868,"boutte, la",0.0
14149,"puerto portillo, peru",0.0
18783,"willimantic, me",0.0
1872,"bow, nh",0.0
1876,"bowdon, nd",0.0
14134,"puckett, ms",0.0
1875,"bowdoinham, me",0.0
1874,"bowbells, nd",0.0
14139,"puertecitos, mexico",0.0
169,"adkins, tx",0.0
18786,"willis, tx",0.0
1869,"bovey, mn",0.0
14143,"puerto concord, colombia",0.0
18785,"willis, mi",0.0
14145,"puerto jimenez, costa rica",0.0
18784,"willimatic, ct",0.0
1870,"bovina, tx",0.0
14147,"puerto ordaz, venezuela",0.0
14091,"prnc frederick, md",0.0
18807,"wilmington, il",0.0
158,"addy, wa",0.0
14060,"preu, in",0.0
18823,"wilsonville, ne",0.0
14046,"prescott, ar",0.0
1908,"bradford, il",0.0
14048,"prescott, wa",0.0
14049,"prescott, wi",0.0
14050,"presidio, tx",0.0
1906,"bracketville, tx",0.0
14052,"preston, ia",0.0
14053,"preston, id",0.0
18822,"wilsonville, al",0.0
14054,"preston, md",0.0
14055,"preston, mn",0.0
14056,"preston, mo",0.0
14057,"preston, tx",0.0
14058,"prestonburg, ky",0.0
1909,"bradford, nh",0.0
152,"addis ababa, ethiopia",0.0
1913,"bradfordville, fl",0.0
14032,"prairie, id",0.0
18829,"wilton, nd",0.0
1919,"bradley, il",0.0
14028,"prairie duchien, wi",0.0
1917,"bradley, ca",0.0
14030,"prairie grove, ar",0.0
14031,"prairie view, ks",0.0
14033,"prairieville, mi",0.0
14041,"preble, ny",0.0
14034,"prajuabkhirikha, thailand",0.0
14036,"prattsburg, ny",0.0
18826,"wilton, ca",0.0
14038,"prattsville, oh",0.0
1915,"bradley ski, ak",0.0
1914,"bradley lake, ak",0.0
14059,"prestonsburg, ky",0.0
14061,"prevost, wa",0.0
1895,"boyd, mn",0.0
14062,"price, tx",0.0
1898,"boyle, ms",0.0
14080,"princeton, or",0.0
18815,"wilmot, wi",0.0
14081,"princeton, tx",0.0
14082,"princeton, wi",0.0
14083,"princeton, wv",0.0
153,"addis, la",0.0
154,"addison, al",0.0
18812,"wilmore, ky",0.0
14084,"princetown, ny",0.0
155,"addison, il",0.0
1897,"boyertown, pa",0.0
14086,"princeville, or",0.0
14087,"princton, mn",0.0
156,"addison, ny",0.0
14078,"princeton, mo",0.0
18817,"wilson bar, id",0.0
18818,"wilson creek, wa",0.0
14068,"prince geo.,b.c, canada",0.0
14064,"prichard, id",0.0
18821,"wilson, nc",0.0
14065,"priest river, id",0.0
14066,"prim, ar",0.0
1901,"boynton bch., fl",0.0
18820,"wilson, ks",0.0
14069,"prince george, canada",0.0
14075,"princeton, il",0.0
14070,"prince george, va",0.0
14071,"princefrederick, md",0.0
14072,"princess anne, md",0.0
14073,"princeton, ca",0.0
14074,"princeton, id",0.0
18819,"wilson, ar",0.0
14164,"punta brava, paraguay",0.0
1860,"bourbon, in",0.0
14166,"punta china, mexico",0.0
14273,"rainy pass, ak",0.0
1814,"booneville, ar",0.0
18739,"wildwood, nj",0.0
14259,"radnow township, pa",0.0
14262,"ragley, la",0.0
18736,"wildorado, tx",0.0
1810,"booker, tx",0.0
14264,"raiford, fl",0.0
1808,"bono, ar",0.0
14266,"rainbow lake, ak",0.0
1806,"bonney lake, wa",0.0
18734,"wilder, id",0.0
14269,"rainelle, wv",0.0
18733,"wild rose, wi",0.0
14271,"rainier, or",0.0
18732,"wilcox, az",0.0
14256,"radford, va",0.0
14255,"racine, wv",0.0
184,"afton, tx",0.0
14249,"rabbit hash, ky",0.0
18752,"willard, nc",0.0
182,"afton, mn",0.0
14244,"quitman, ga",0.0
14246,"quitman, tx",0.0
18748,"willacooche, ga",0.0
14248,"quzinkie, ak",0.0
18747,"wilksville, oh",0.0
18741,"wilgrove, nc",0.0
1817,"boonville, ca",0.0
18746,"wilkeson, wa",0.0
14251,"rachael, nv",0.0
18744,"wilkes-barre, pa",0.0
18743,"wilkes barre, pa",0.0
1815,"booneville, ms",0.0
18731,"wilburton, ok",0.0
14274,"raleigh durham, nc",0.0
14239,"quinter, ks",0.0
14275,"raleigh, il",0.0
14296,"rancho mirage, ca",0.0
191,"agate, co",0.0
14298,"rancho p.verdes, ca",0.0
14299,"rancho palos verdes, ca",0.0
14300,"rancho santa fe, ca",0.0
14301,"rancho santa yn, mexico",0.0
14302,"rancho, ca",0.0
18720,"wickenberg, az",0.0
14303,"ranchos de taos, nm",0.0
14304,"rancocas, nj",0.0
1798,"bonita, la",0.0
14306,"randalette, ok",0.0
14307,"randall, mn",0.0
14308,"randle, wa",0.0
14309,"randleman, nc",0.0
14295,"rancho cucamonga, ca",0.0
1800,"bonn, germany",0.0
14292,"rancho calif, ca",0.0
1802,"bonne terre, mo",0.0
14276,"raleigh, ms",0.0
1804,"bonner's ferry, id",0.0
18729,"wilber, ne",0.0
1803,"bonner springs, ks",0.0
14281,"ramapo, ny",0.0
14282,"ramon, nm",0.0
14284,"ramona, sd",0.0
14291,"rancho bernardo, ca",0.0
14285,"rampart, ak",0.0
14286,"ramseur, nc",0.0
18725,"wiersdale, fl",0.0
14288,"ramsey, mn",0.0
18724,"wiener neustadt, austria",0.0
18722,"wickes, ar",0.0
14240,"quinton, ok",0.0
14238,"quinn, sd",0.0
18778,"williamston, nc",0.0
1846,"boswell, in",0.0
14185,"putnam, il",0.0
14186,"putnam, ok",0.0
1849,"bottineau, nd",0.0
14188,"putong, china",0.0
18772,"williamsport, ak",0.0
14189,"puunene, maui, hi",0.0
14190,"puxico, mo",0.0
14192,"pvt ranch baja, mexico",0.0
18771,"williamson, wv",0.0
14193,"pylmouth, in",0.0
18770,"williamson, sc",0.0
1847,"boswell, ok",0.0
18769,"williamson, ny",0.0
18767,"williamsfield, il",0.0
14197,"qioquinton, va",0.0
14184,"putnam, ct",0.0
18773,"williamsport, in",0.0
1850,"boudaya, africa, ivory coast",0.0
14176,"purcell, ok",0.0
1859,"bountiful, ut",0.0
14169,"punta gorda, belize",0.0
1858,"boulevard, ca",0.0
14171,"punta pescadero, mexico",0.0
1856,"boulder, nv",0.0
14175,"punxsutawney, pa",0.0
14177,"purcellville, va",0.0
174,"adrian, tx",0.0
1853,"boulder junction, wi",0.0
14179,"purkeypile mine, ak",0.0
14180,"purvis, ms",0.0
1851,"boulder city, nc",0.0
18777,"williamston, mi",0.0
18776,"williamsport, tn",0.0
14198,"quaker street, ny",0.0
14200,"quanah, tx",0.0
1821,"boothbay harbor, me",0.0
1844,"boston, ga",0.0
1834,"borrego, ca",0.0
1833,"borrego valley, ca",0.0
14223,"quetta, pakistan",0.0
1831,"boron, ca",0.0
18756,"william-sodus, ny",0.0
14227,"quibdo, colombia",0.0
1829,"borinquen, pr",0.0
14229,"quinault, wa",0.0
14230,"quincey, wa",0.0
1828,borinquen,0.0
181,"afton, ca",0.0
1825,"borego springs, ca",0.0
14234,"quincy, in",0.0
14235,"quincy, wa",0.0
18753,"willard, oh",0.0
18757,"williams afb, az",0.0
1835,"borroloola, australia, australia",0.0
18758,"williams lake, mi",0.0
18762,"williams, or",0.0
14203,"quartz creek, ak",0.0
14204,"quartzite, az",0.0
18764,"williamsburg, mi",0.0
1843,"boston heights, oh",0.0
14207,"quebec, canada",0.0
14208,quebradillas,0.0
1839,"bosler, wy",0.0
1836,"borup, mn",0.0
14211,"queen city, mo",0.0
18761,"williams, mn",0.0
178,"advance, mo",0.0
14213,"queens cannery, ak",0.0
1837,"bosco, la",0.0
14215,"queenstown, md",0.0
1921,"bradshaw, md",0.0
149,"adams, tn",0.0
2019,"bridgeville, ca",0.0
2000,"brickey, ar",0.0
13842,"pomona, mo",0.0
1998,"briceville, tn",0.0
1997,"bribie island, australia",0.0
13845,"pompeys pillar, mt",0.0
13847,"pompton plains, nj",0.0
18911,"winter garden, fl",0.0
13849,"ponca, ar",0.0
13850,ponce,0.0
13851,"ponce de leon, fl",0.0
18910,"winstonville, ms",0.0
13853,ponch,0.0
1995,"brewster, wa",0.0
127,"acequia, id",0.0
13855,"pond creek, ok",0.0
18908,"winston, or",0.0
1999,"brickerville, pa",0.0
125,"accra, ghana",0.0
148,"adams, ny",0.0
13838,"pomeroy, oh",0.0
18917,"wintergreen, va",0.0
18916,"winter, ca",0.0
13825,"polkland, fl",0.0
18915,"winter springs, fl",0.0
13826,"polkton, nc",0.0
18914,"winter park, fl",0.0
13828,"pollard, ar",0.0
13829,"pollock pines, ca",0.0
13830,"pollock, la",0.0
13831,"pollock, tx",0.0
13832,"pollocksville, nc",0.0
2003,"bridal veil, or",0.0
13834,"polly creek, ak",0.0
2002,"bricktown, nj",0.0
13837,"pomaria, sc",0.0
18907,"winston, nm",0.0
13857,"ponderosa, nm",0.0
1993,"brewster, ks",0.0
1991,"brevig mission, ak",0.0
18894,"winnsboro, tx",0.0
18893,"winnsboro, sc",0.0
13877,"popular grove, il",0.0
13878,"porcupine butte, ak",0.0
13879,"porcupine lodge, ak",0.0
