,Location,TotalFatalInjuries,pop,Scaled_Fatalities
2168,"knoxville, ia",4.0,25636.0,0.00015603058199407084
4052,"stigler, ok",4.0,41244.0,9.69838037047813e-05
230,"athens, greece",4.0,9726.0,0.00041126876413736374
4192,"tiller, or",4.0,23582.0,0.00016962089729454668
231,"athens, la",4.0,89970.0,4.4459264199177505e-05
4066,"stover, mo",4.0,207970.0,1.9233543299514353e-05
1996,"irwindale, ca",4.0,78409.0,5.101455190092974e-05
1941,"huntington beac, ca",4.0,381348.0,1.0489107062315785e-05
1924,"houston, tx",4.0,5484258.0,7.293602890308953e-07
4155,"templeton, ma",4.0,208414.0,1.9192568637423588e-05
1921,"houma, la",4.0,708764.0,5.643627498010621e-06
4305,"van horn, tx",4.0,157612.0,2.5378778265614294e-05
3522,"quinhagak, ak",4.0,456380.0,8.764625969586749e-06
1176,"dunkirk, ny",4.0,24202.0,0.00016527559705809436
1194,"eagle, co",4.0,322217.0,1.2413994295769621e-05
525,"bridger, mt",4.0,94281.0,4.2426363742429545e-05
721,"central point, or",4.0,40596.0,9.853187506158242e-05
4570,"winchester, in",4.0,10101.0,0.000396000396000396
677,"carlsbad, tx",4.0,17946.0,0.00022289089490694304
4573,"winlock, wa",4.0,10152.0,0.0003940110323089047
591,"burbank, ca",4.0,462313.0,8.652146922106884e-06
547,"brooklyn, ny",4.0,2643736.0,1.51301037622516e-06
351,"beldon, ca",4.0,324465.0,1.2327986069375742e-05
8,"11nm east of si, ak",4.0,143396.0,2.7894780886496136e-05
492,"bowling green, oh",4.0,16758.0,0.00023869196801527628
4544,"williams, az",4.0,45449.0,8.801073730995181e-05
488,"boulder, co",4.0,228685.0,1.7491309005837725e-05
4635,"yakima, wa",4.0,155872.0,2.5662081708068157e-05
472,"boise, id",4.0,3363135.0,1.189366469083162e-06
465,"blyn, wa",4.0,9540.0,0.0004192872117400419
461,"bluefield, wv",4.0,99669.0,4.013283969940503e-05
460,"blue river, or",4.0,42601.0,9.38945095185559e-05
415,"bingham canyon, ut",4.0,245259.0,1.630928936348921e-05
413,"billings, mt",4.0,773866.0,5.168853522444454e-06
731,"champion, pa",4.0,10275.0,0.00038929440389294404
4538,"wikieup, az",4.0,29388.0,0.00013610997686130393
2376,"little falls, mn",4.0,758730.0,5.271967630118751e-06
888,"comfort, tx",4.0,38851.0,0.00010295745283261693
4343,w cameron 540,4.0,9944.0,0.00040225261464199515
1102,"des moines, wa",4.0,35815.0,0.00011168504816417702
4344,w camrn blk 624,4.0,10451.0,0.0003827384939240264
4373,"wallingford, ct",4.0,25745.0,0.0001553699747523791
988,"culpeper, va",4.0,35007.0,0.00011426286171337161
976,"crossville, tn",4.0,8735653.0,4.578936457297468e-07
4481,"west of cross c, fl",4.0,37394.0,0.00010696903246510135
4498,"westminster, md",4.0,207097.0,1.931462068499302e-05
881,"columbus, ga",4.0,1837970.0,2.1763140856488408e-06
754,"charlottesville, va",4.0,1545654.0,2.5879013026201205e-06
861,"coldwater, oh",4.0,489506.0,8.171503515789388e-06
831,"climax, co",4.0,239757.0,1.668355876992121e-05
821,"clermont, fl",4.0,269774.0,1.4827225751925687e-05
796,"cincinnati, oh",4.0,802424.0,4.984895765829537e-06
792,"chugiak, ak",4.0,856769.0,4.6687029992915244e-06
4502,"westville, in",4.0,69697.0,5.739127939509591e-05
4525,"whitefield, nh",4.0,169160.0,2.3646252069047056e-05
335,"beaumont, tx",4.0,291043.0,1.3743673615238986e-05
2375,"little america, wy",4.0,15391.0,0.00025989214475992465
393,"bethel, ak",4.0,784863.0,5.096430842070527e-06
3220,"oxbow, or",4.0,1287050.0,3.107882366652422e-06
3784,"savannah, ga",4.0,360294.0,1.11020444414839e-05
3604,"riverton, wy",4.0,129420.0,3.090712409210323e-05
2524,"marathon, fl",4.0,1360239.0,2.940659692892205e-06
3719,"salt lake city, ut",4.0,863602.0,4.6317632427900815e-06
2556,"marquez, nm",4.0,69954.0,5.7180432855876716e-05
3542,"randsburg, ca",4.0,23511.0,0.00017013312917357832
3215,"ouzinkie, ak",4.0,1318905.0,3.032818891428875e-06
3071,"normangee, tx",4.0,11674.0,0.00034264176803152307
3279,"park valley, ut",4.0,159134.0,2.5136048864478993e-05
2596,"mccarthy, ak",4.0,497023.0,8.04791729960183e-06
3558,"red devil, ak",4.0,15926.0,0.0002511616225040814
380,"bergheim, tx",4.0,16621.0,0.0002406594067745623
2609,"mckittrick, ca",4.0,10150.0,0.00039408866995073894
2613,"mead, wa",4.0,97233.0,4.1138296668826425e-05
3019,"new ringgold, pa",4.0,14798.0,0.00027030679821597514
3773,"sarasota, fl",4.0,1428163.0,2.8008007489341203e-06
2625,"mediapolis, ia",4.0,139090.0,2.875835789776404e-05
3593,"ridgefield, ct",4.0,11410.0,0.00035056967572304995
3709,"salina, ut",4.0,50477.0,7.924401212433386e-05
3197,"orlando, fl",4.0,1613840.0,2.4785604520894263e-06
3194,"orinda, ca",4.0,49665.0,8.053961542333635e-05
100,"albuquerque, nm",4.0,4212468.0,9.495621094332349e-07
3192,"orem, ut",4.0,45629.0,8.766354730544172e-05
3482,"prattville, al",4.0,98586.0,4.057371229180614e-05
2930,"near mt. shasta, ca",4.0,1253309.0,3.191551325331582e-06
3529,"ragland, al",4.0,773283.0,5.1727504678106205e-06
2408,"lompoc, ca",4.0,2493102.0,1.604426934798496e-06
2921,"near kotzebue, ak",4.0,67595.0,5.917597455433094e-05
2422,"loris, sc",4.0,797557.0,5.015315519768493e-06
3738,"san marcos, ca",4.0,48817.0,8.193866890632361e-05
2431,"louisburg, nc",4.0,4721.0,0.0008472781190425757
3432,"pomona, nj",4.0,49376.0,8.101101749837978e-05
3405,"platinum, ak",4.0,2262729.0,1.7677768747384243e-06
3730,"san francisco, ca",4.0,4029626.0,9.926479529365753e-07
2468,"madison county, al",4.0,109218.0,3.6623999707008004e-05
2493,"mammoth lakes, ca",4.0,382722.0,1.0451450400029264e-05
3567,"redlands, ca",4.0,150591.0,2.6562012338054732e-05
3758,"santa barbara, ca",4.0,121743.0,3.285609850258331e-05
3713,"salisbury, md",4.0,83402.0,4.796048056401525e-05
3025,"newark, nj",3.0,45339.0,6.616819956328988e-05
865,"college station, tx",3.0,364617.0,8.227811648935732e-06
3590,"richmond, oh",3.0,10760.0,0.0002788104089219331
868,"collier twnshp, pa",3.0,27390.0,0.0001095290251916758
944,"cougar, wa",3.0,59093.0,5.076743438309106e-05
899,"conover, nc",3.0,44725.0,6.707657909446618e-05
1100,"des arc, ar",3.0,11761.0,0.00025508035031034776
1123,"dixie, id",3.0,400999.0,7.481315414751658e-06
1107,"devers, tx",3.0,40342.0,7.436418620792226e-05
1105,"detroit, mi",3.0,2007273.0,1.4945650143254057e-06
1103,"desert center, ca",3.0,101742.0,2.9486347820958896e-05
3608,"roanoke, tx",3.0,77324.0,3.8797785939682375e-05
2946,"near rialto, ca",3.0,14563.0,0.00020600151067774497
